CustomerID,Name,Gender,BirthDate,City,JoinDate
C001,Michael Davis,Male,1996-09-11,Osborneport,2022-09-25
C002,Michael Miller,Male,1959-08-18,New Gabrielleport,2020-11-03
C003,Carol Hays,Female,2005-04-19,Port Allen,2024-02-12
C004,Joseph Ward,Male,1992-06-16,East Edgarborough,2024-09-09
C005,Jamie Salinas,Male,1992-06-18,Port Kimberly,2022-02-24
C006,Danny Moore,Male,1986-10-03,Costaberg,2022-07-09
C007,Erin Walker,Male,1985-01-11,West Jasmine,2021-10-13
C008,Isaiah Williams,Male,1960-11-13,New Michaelland,2025-03-04
C009,Richard Pacheco,Female,2004-08-15,West Lisaville,2025-04-17
C010,Catherine Rice,Male,1976-12-12,West Carol,2025-07-23
C011,Haley Williams,Male,1997-03-03,Leburgh,2023-05-12
C012,Dale Perry,Male,1989-12-08,Lake Dawn,2021-07-16
C013,Robert Anderson,Male,1955-01-28,Jillianhaven,2023-03-22
C014,Brittany Green,Male,1974-06-25,East Samantha,2021-11-09
C015,Matthew Molina,Male,1993-12-12,Quinnville,2022-11-27
C016,Miguel Johnson,Male,1976-04-27,Murrayborough,2022-02-21
C017,Vanessa Anderson,Female,1982-03-11,Peterside,2024-09-25
C018,Breanna Davis,Male,1994-08-19,East William,2024-11-12
C019,John Smith,Female,1998-05-16,Stephaniechester,2023-05-17
C020,Ryan Cole,Female,1982-06-26,Travisstad,2024-04-19
C021,Debbie Martin,Male,1993-11-17,Meganmouth,2022-01-22
C022,Megan Velasquez,Male,1955-11-16,East James,2020-10-02
C023,Mark Martinez,Female,1972-05-09,New Christophermouth,2020-10-19
C024,Molly Murray,Female,1961-11-25,North April,2023-04-20
C025,Cheryl Gilbert,Female,1971-03-12,Bradyshire,2022-01-14
C026,Justin Macdonald,Male,2004-01-04,Shepherdburgh,2024-09-03
C027,Jacqueline Martin,Male,1959-02-05,Robertmouth,2023-08-30
C028,John Carr,Female,1960-02-10,New David,2022-12-16
C029,Tyler Levine,Male,1978-05-20,West Charles,2021-08-30
C030,Lacey Hall,Male,2002-06-10,Thomashaven,2022-08-27
C031,Ashley Gibson,Female,2003-03-14,East Carrieberg,2025-08-26
C032,Valerie Macdonald,Male,1992-11-09,East Shelby,2021-01-12
C033,Jenny Beck,Female,1978-07-27,Lake Cody,2025-03-17
C034,Kari Miller,Female,1964-12-19,East Mary,2025-01-13
C035,Kimberly King,Female,1991-04-19,North George,2023-03-22
C036,Michael Cervantes,Male,1991-11-04,Ashleyview,2020-09-30
C037,Miranda Nelson,Female,1982-08-30,West Melissahaven,2024-01-31
C038,Tracey Davis,Male,1974-04-19,Wilsonbury,2021-05-10
C039,Nancy Savage,Female,1996-11-02,Port Sandra,2022-10-17
C040,Scott Powell,Male,1974-11-06,Port Miguel,2022-07-12
C041,Melissa Rodgers,Female,1980-07-03,North Sharontown,2023-01-24
C042,Anna Andrews,Female,2000-02-08,North Teresashire,2021-11-09
C043,Kenneth Allen,Male,1988-09-14,North Jonathonhaven,2023-10-14
C044,Parker Sparks,Male,1961-02-14,Bryanside,2024-12-27
C045,Kelly Shaw,Male,1975-12-28,Zacharyfort,2023-10-09
C046,Dennis Poole,Male,1964-01-21,New Jontown,2022-06-25
C047,Mary Decker,Female,2006-07-03,Port Jessica,2025-02-25
C048,Alexis Crane,Male,2004-12-30,Newtonborough,2022-04-10
C049,Antonio Hamilton,Male,1997-01-03,Chambersview,2022-06-23
C050,Kelly Mcmillan,Male,1968-06-20,Erinland,2022-08-25
C051,Madison Sellers,Female,2004-12-19,Boyerstad,2024-02-25
C052,Billy Hernandez,Female,1991-09-11,Walkerfurt,2024-04-25
C053,Felicia Morgan,Female,1998-04-20,Lake Michaelshire,2024-04-07
C054,Crystal Johnson,Female,2002-11-10,New Kathleentown,2021-03-19
C055,Deborah Moody,Male,1976-07-09,Andersonville,2021-02-05
C056,Carl Wyatt,Female,2004-09-23,North Tracey,2021-06-19
C057,Julie Gibson,Female,1998-09-26,Williamsville,2023-03-26
C058,Lawrence Stewart,Male,2005-07-22,West Tinatown,2020-11-10
C059,Scott Wyatt,Female,1963-05-11,New Meagan,2024-09-27
C060,Anthony Conway,Male,1997-10-09,Carlyberg,2025-06-15
C061,Heather Russell,Male,1968-10-21,North Michellemouth,2021-02-01
C062,Susan Salinas,Male,2000-06-21,Turnerberg,2021-09-23
C063,Michael Johnson,Male,1973-01-07,West Amandashire,2023-05-29
C064,Amanda Hoover,Female,1973-09-01,Brittanyburgh,2024-09-26
C065,Scott Duke,Female,1969-12-10,Williamhaven,2024-01-21
C066,Jason Jenkins,Female,1985-09-14,New Randychester,2020-12-21
C067,Daniel Maldonado,Male,1973-09-07,Davisfurt,2021-03-11
C068,Alexandra Montoya,Female,1981-06-09,New Julia,2024-06-13
C069,Gabriel Daugherty,Male,1965-10-14,New Reginald,2023-01-11
C070,Eric Bryan,Male,1971-10-24,Taylorhaven,2021-03-04
C071,Denise Gutierrez,Male,1962-06-18,New Manuelville,2021-05-24
C072,Eric Watkins,Female,1995-06-06,Melissashire,2022-07-02
C073,Carl Armstrong,Female,1964-12-04,Port Angelabury,2022-02-09
C074,Jesus Singh,Female,1959-05-31,Port Michaelstad,2023-02-09
C075,Seth Moore,Male,1954-09-17,New John,2021-05-12
C076,Phyllis Durham,Male,2005-12-14,Nancyside,2022-05-07
C077,Matthew Juarez,Female,2002-12-24,North Meagan,2022-10-21
C078,Jeanne Young,Male,1988-09-25,Craigport,2025-01-14
C079,Donald Marsh,Female,1979-06-15,North Bradleyfurt,2024-07-06
C080,Grace Garcia,Female,2003-11-04,Markberg,2023-01-02
C081,Sarah Reynolds,Female,1988-07-20,South Christinabury,2022-09-22
C082,Amy Haley,Male,2003-05-11,Vasquezmouth,2024-06-29
C083,Jeremy Robles,Female,1981-03-29,West Josephport,2022-02-08
C084,Amanda Lee,Male,1972-03-19,Meyersstad,2024-09-04
C085,Juan Ramirez,Male,1979-03-23,New Michaelview,2023-10-11
C086,Lawrence Hunter,Female,1975-09-26,Port Stephanie,2023-07-26
C087,Laurie Mason,Female,1975-06-22,Berrymouth,2025-07-02
C088,Brenda Costa,Female,1997-10-11,North Christian,2022-09-12
C089,William Warner,Female,1969-07-12,Geoffreystad,2022-11-25
C090,Carrie Peterson,Male,1975-08-18,Fergusonview,2022-01-16
C091,Brian Fowler,Male,1963-02-04,Port Williamhaven,2021-08-23
C092,Lindsey Holder,Female,2001-11-28,Mendozaland,2023-12-17
C093,Stanley Brown,Male,1978-04-14,Baldwinstad,2022-02-25
C094,Kimberly Stokes,Male,1962-10-18,Seanland,2025-08-07
C095,Kevin Snyder,Male,1982-08-20,Seanville,2020-12-19
C096,Eric King,Male,1989-01-06,Lake Amanda,2021-10-27
C097,Evelyn Gray,Male,1994-08-14,Wardfort,2025-06-14
